Q4,Q3,Q22*,Q1,Q2,Q7,Q21,ROI-Team
2,2,2,2,2,1,2,8.8
2,2,3,2,1,1,2,8.8
2,2,2,2,1,2,2,8.8
2,1,1,1,1,2,1,8.8
3,3,4,3,2,4,2,-13.5
3,2,4,2,1,3,4,-13.5
3,3,5,3,1,3,4,-13.5
2,1,4,2,2,3,3,-13.5
1,3,5,3,1,4,4,-17.4
3,2,4,2,1,2,3,-17.4
3,2,5,3,1,3,4,-17.4
4,3,5,3,3,3,3,-17.4
3,2,5,3,2,3,4,-10.7
3,3,5,3,2,3,4,-10.7
4,4,5,4,4,4,3,-10.7
3,3,4,2,1,3,3,-10.7
2,2,3,2,1,1,2,-6.9
2,2,3,1,1,2,2,-6.9
2,2,3,2,1,1,2,-6.9
4,4,1,3,3,4,4,-7.2
2,3,1,2,3,4,2,-7.2
3,3,5,4,3,4,4,-7.2
4,3,5,4,3,4,4,-38.5
4,3,5,3,3,4,4,-38.5
3,4,5,3,3,4,4,-38.5
4,3,5,4,3,4,4,-38.5
3,2,3,2,1,2,2,-2.5
2,3,4,1,2,2,3,-2.5
2,2,2,2,1,2,1,-2.5
3,3,3,2,2,2,3,-2.5
4,4,5,4,2,4,4,-18
3,3,5,2,1,3,3,-18
4,3,5,3,3,2,3,-18
3,2,4,2,1,2,2,-6.3
3,3,4,3,1,3,4,-6.3
4,3,5,2,1,3,3,-6.3
3,3,1,3,1,3,3,-6.3
3,2,5,4,1,3,3,-14.9
4,2,5,3,2,3,3,-14.9
4,3,5,3,3,2,4,-14.9
3,3,3,2,1,2,2,-5.3
3,2,4,3,1,3,3,-5.3
2,2,4,1,1,4,3,-5.3
3,3,3,3,1,2,3,-5.3
4,3,5,1,1,3,3,-25.5
3,3,4,2,1,1,3,-25.5
2,2,4,2,1,2,3,-25.5
2,1,3,2,1,2,1,-25.5
3,3,3,3,1,2,3,-31
3,3,4,2,2,3,3,-31
3,1,4,3,1,1,3,-31
2,1,1,4,1,2,3,-31
2,1,5,2,1,3,3,-8.2
4,2,4,3,1,3,4,-8.2
2,3,5,3,1,2,3,-8.2
2,1,5,1,1,2,4,-8.2
2,1,3,1,1,1,2,-18.4
4,2,4,3,1,2,3,-18.4
2,2,3,2,1,3,3,-18.4
3,2,3,2,1,3,2,-18.4
1,1,5,2,1,4,4,-2.7
2,1,4,2,2,4,3,-2.7
3,3,5,3,1,3,4,-2.7
3,3,4,1,1,3,3,-2.7
3,3,5,2,2,4,4,-12
3,2,5,3,2,3,3,-12
3,3,5,3,2,3,4,-12
3,3,4,3,2,3,3,-12
2,1,3,1,1,3,3,-5.4
4,1,4,3,1,3,3,-5.4
1,1,5,1,1,2,3,-5.4
2,1,3,1,1,3,2,-0.6
2,3,4,1,1,2,3,-0.6
3,2,4,2,1,3,3,-0.6
2,1,4,2,1,1,2,-0.6
4,4,5,3,3,4,4,-37.2
3,3,5,3,2,4,4,-37.2
3,3,5,3,3,3,3,-37.2
3,4,3,4,1,3,4,-9.1
3,2,4,3,2,3,3,-9.1
1,1,4,1,1,3,3,-9.1
4,1,5,1,1,3,3,-9.1
2,1,3,2,1,1,3,-1.7
1,1,2,1,1,2,2,-1.7
1,1,2,1,2,1,1,-1.7
1,1,2,3,1,1,1,-1.7
4,3,5,3,2,3,4,-10.9
2,1,4,1,1,3,3,-10.9
2,2,3,1,1,3,2,-10.9
3,3,4,3,3,3,3,-10.9
3,2,5,4,1,3,4,0.9
3,2,4,3,1,3,3,0.9
3,2,4,3,1,3,3,0.9
3,2,4,2,1,3,2,0.9
3,3,3,3,1,3,2,-34.9
3,3,3,3,1,3,1,-34.9
2,1,3,2,1,2,2,-34.9
3,2,3,3,1,2,2,-34.9
3,2,4,2,3,2,2,-15.3
3,2,4,3,3,3,3,-15.3
2,2,3,2,1,2,2,-15.3
3,3,4,3,1,3,3,-15.3
3,2,4,1,2,3,2,-14.8
4,3,5,3,2,3,3,-14.8
2,1,2,3,2,1,2,-14.8
3,3,4,2,1,3,2,-19.1
4,3,5,2,2,4,4,-19.1
3,2,3,2,1,2,2,-19.1
4,3,5,3,3,3,4,-19.1
1,3,4,3,3,3,4,-16.8
3,3,5,3,3,4,4,-16.8
3,3,5,2,1,4,4,-16.8
3,3,5,3,1,3,3,-4.2
4,2,5,4,1,3,4,-4.2
2,1,1,4,1,3,3,-4.2
3,3,5,3,3,3,4,-4.2
1,2,4,2,2,2,2,-3.6
3,3,1,2,1,1,1,-3.6
2,2,2,2,1,1,1,-3.6
3,2,1,2,2,2,1,-3.6
